cotacaoCompra,cotacaoVenda,dataHoraCotacao
5.4366,5.4372,2026-01-02 13:03:33.254
5.4345,5.4351,2026-01-05 13:10:14.896
5.3791,5.3797,2026-01-06 13:12:07.358
5.3874,5.388,2026-01-07 13:06:27.001
5.3854,5.386,2026-01-08 13:04:28.616
5.3701,5.3707,2026-01-09 13:09:29.054
5.3754,5.376,2026-01-12 13:08:29.056
5.3758,5.3764,2026-01-13 13:08:54.165
5.3789,5.3795,2026-01-14 13:04:32.411
5.384,5.3846,2026-01-15 13:05:25.66
5.3792,5.3798,2026-01-16 13:04:26.486
5.3647,5.3653,2026-01-19 13:07:27.662
5.3784,5.379,2026-01-20 13:02:30.787
5.3362,5.3368,2026-01-21 13:04:32.866
5.3112,5.3118,2026-01-22 13:07:26.401
5.2872,5.2879,2026-01-23 13:09:25.549
5.2754,5.276,2026-01-26 13:09:03.031
5.2386,5.2392,2026-01-27 13:08:25.783
5.1832,5.1838,2026-01-28 13:10:27.392
5.195,5.1956,2026-01-29 13:08:22.928
5.2295,5.2301,2026-01-30 13:05:28.73
5.2581,5.2587,2026-02-02 13:07:27.937
5.223,5.2236,2026-02-03 13:11:27.228
5.2353,5.2359,2026-02-04 13:10:28.563
5.2574,5.258,2026-02-05 13:05:29.335
5.2335,5.2341,2026-02-06 13:10:27.461
5.1937,5.1943,2026-02-09 13:09:27.409
5.2015,5.2021,2026-02-10 13:10:27.358
5.183,5.1836,2026-02-11 13:03:28.474
5.1668,5.1674,2026-02-12 13:04:38.193
5.2282,5.2288,2026-02-13 13:04:28.071
5.2343,5.2349,2026-02-18 15:40:28.762
5.225,5.2257,2026-02-19 13:11:26.862
5.2,5.2006,2026-02-20 13:02:26.431
5.1629,5.1635,2026-02-23 13:02:28.425
5.1676,5.1682,2026-02-24 13:04:29.024
5.1434,5.144,2026-02-25 13:05:27.648
5.1376,5.1382,2026-02-26 13:06:33.355
5.1489,5.1495,2026-02-27 13:02:27.158
5.1995,5.2001,2026-03-02 13:09:26.433
5.2864,5.287,2026-03-03 13:10:27.879
5.2085,5.2091,2026-03-04 13:07:27.146
5.2441,5.2447,2026-03-05 13:03:29.746
5.2872,5.2878,2026-03-06 13:10:27.63
5.2133,5.2139,2026-03-09 13:10:27.585
5.1616,5.1622,2026-03-10 13:09:26.345
5.159,5.1596,2026-03-11 13:04:25.916
5.2045,5.2051,2026-03-12 13:10:28.891
5.2535,5.2541,2026-03-13 13:03:28.538
5.2641,5.2647,2026-03-16 13:08:25.116
5.2016,5.2022,2026-03-17 13:09:32.836
5.2106,5.2112,2026-03-18 13:08:32.572
5.2581,5.2587,2026-03-19 13:02:27.336
5.2793,5.28,2026-03-20 13:11:27.571
5.2434,5.244,2026-03-23 13:11:28.202
5.2593,5.2599,2026-03-24 13:09:28.963
5.2269,5.2275,2026-03-25 13:08:33.947
5.2302,5.2308,2026-03-26 13:11:08.561
5.237,5.2376,2026-03-27 13:11:42.09
5.2347,5.2353,2026-03-30 13:10:27.787
5.2188,5.2194,2026-03-31 13:04:22.65
5.16,5.1606,2026-04-01 13:06:27.728
5.1649,5.1655,2026-04-02 13:10:26.9
5.1526,5.1532,2026-04-06 13:06:24.727
5.1619,5.1625,2026-04-07 13:08:26.061
5.0893,5.0899,2026-04-08 13:02:28.785
5.0815,5.0821,2026-04-09 13:10:29.554
5.0223,5.0229,2026-04-10 13:04:25.374
5.0238,5.0244,2026-04-13 13:04:53.632
4.98,4.9806,2026-04-14 13:03:27.481
4.9922,4.9928,2026-04-15 13:06:25.977
5.0001,5.0007,2026-04-16 13:03:28.563
4.9689,4.9695,2026-04-17 13:09:27.062
4.9838,4.9844,2026-04-20 13:02:26.336
4.9647,4.9653,2026-04-22 13:11:28.361
4.9533,4.9539,2026-04-23 13:03:26.089
5.0077,5.0083,2026-04-24 13:06:16.172
4.9694,4.97,2026-04-27 13:06:14.1
4.9872,4.9878,2026-04-28 13:10:26.457
4.9979,4.9985,2026-04-29 13:11:25.357
4.988,4.9886,2026-04-30 13:06:27.523
4.9581,4.9587,2026-05-04 13:09:25.789
4.9236,4.9242,2026-05-05 13:04:25.969
4.9268,4.9274,2026-05-06 13:08:27.861
4.9164,4.917,2026-05-07 13:09:28.692
4.8993,4.8999,2026-05-08 13:05:32.403
4.8967,4.8973,2026-05-11 13:08:25.14
4.8971,4.8977,2026-05-12 13:11:27.361
4.9112,4.9118,2026-05-13 13:17:55.038
4.9803,4.9809,2026-05-14 13:03:15.182
5.0648,5.0654,2026-05-15 13:08:27.392
5.0087,5.0093,2026-05-18 13:04:25.962
5.0372,5.0378,2026-05-19 13:09:25.933
5.0295,5.0301,2026-05-20 13:05:27.747
5.0071,5.0077,2026-05-21 13:08:26.046
5.0134,5.014,2026-05-22 13:06:26.947
5.0066,5.0072,2026-05-25 13:06:31.065
5.0205,5.0211,2026-05-26 13:07:25.808
5.0573,5.0579,2026-05-27 13:02:29.556
5.0511,5.0517,2026-05-28 13:08:16.225
5.0563,5.0569,2026-05-29 13:10:26.61
5.0297,5.0303,2026-06-01 13:11:27.63
5.0154,5.016,2026-06-02 13:10:30.711
5.0409,5.0415,2026-06-03 13:06:26.54
5.1238,5.1244,2026-06-05 13:03:38.306
5.1689,5.1695,2026-06-08 13:03:28.848
5.1687,5.1693,2026-06-09 13:12:05.30888
